Metric		Current
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		23
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		529
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		45
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_SRC_NEGLIGIBLE_RISK_LOC		63
